id,salary_to
20978,58468.546075364546
3102,35052.322716983435
14731,296550.2584245261
16113,236511.63510600888
8410,143977.75874127838
35395,54529.06841597618
21864,43826.21409882292
36701,82790.67071274613
21773,45003.98146717192
31078,35063.19350129606
3601,71561.05464300187
28644,79232.0607920886
8038,131904.15766126683
23609,51511.539862019345
19984,60345.194553692774
3104,80189.32839890635
22306,129096.08538867379
31345,75321.35331658833
32875,36232.71427044981
9987,154361.99686061213
15415,178928.4280167004
35742,109433.4928155375
3929,48378.35751820339
8966,280325.7075979504
28537,30414.113609683336
8840,111920.00232484564
30569,46227.24867138958
5836,75461.3135148784
14344,80485.16944485375
32901,83718.79925995682
3835,124346.89206563987
20113,103083.9724637653
17031,209708.92464897956
23305,55191.37650717936
5954,44958.43705007467
5342,117915.81494598219
17681,251964.05650868785
27115,60242.61590741
25182,37581.39862731359
35282,148460.65858181007
31016,100768.67363046476
26001,29073.260690879797
13094,189525.22408657987
17191,109511.77102524036
27839,104727.84477795778
2135,83878.71050990607
4269,42711.28049727434
7063,187371.4261330598
853,92294.79016536556
13486,91541.66309242864
776,54539.44442416816
26233,46544.63996006174
35244,57334.47314706219
10127,29702.24093989437
17831,183933.9517978632
34061,67695.07954743931
17259,160026.69646954082
7040,176976.63710328308
25477,80387.42498184399
1453,36824.01724550396
21107,143664.91491284544
11717,166337.42855173544
27209,43124.1796482747
70,128811.4375269807
19711,108897.63580203964
10512,42892.452842475876
5764,57156.45958643372
30200,120222.23768680029
31442,50384.07520732497
24752,177967.04207861444
6832,104238.79120438885
926,59638.3453127289
13988,91713.99126297064
10823,209865.75032500958
18076,171596.50297322008
32186,110984.9791704646
5694,185982.4690708387
21903,194436.33408787692
20839,66630.64652448877
465,85833.21484672523
22103,61698.63237956716
12540,136976.33393626
34188,45795.0788195349
2649,88804.51956505026
16177,38691.499324275275
19314,68920.67862080595
20713,104682.35506222126
20126,63438.98625142606
9397,52812.70101327034
29050,57125.79188268904
35235,64977.42213000533
9400,76766.26438461112
24887,76056.09969776528
23587,10628.506009785706
23534,40771.561749339395
25996,140653.01706807376
3931,34050.561684667344
13398,141349.32070569962
30710,33270.641205853026
24678,134619.75789590873
17811,35408.92996339499
34143,63050.48767813796
18872,38441.41906979405
22589,33069.94421274069
30596,211244.74474458996
3337,48747.526665241196
11013,164229.60417178308
22003,80023.52121451515
